
Host: login

Timers On : Mon Apr 18 15:12:33 2022
Timers Off: Mon Apr 18 15:12:35 2022

Wall Time:        2.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: login

Timers On : Mon Apr 18 15:16:47 2022
Timers Off: Mon Apr 18 15:16:58 2022

Wall Time:       11.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 I                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 T2                          :      0.000u      0.000s      0.000w      2 calls
| DFMP2 G                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Pab                         :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Tab                           :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Bai Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 I                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 T2                          :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Pij                         :      0.000u      0.000s      0.000w      2 calls
DFMP2 gamma                         :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 g                           :      0.000u      0.000s      0.000w      2 calls
DFMP2 Gia                           :      0.000u      0.000s      0.002w      2 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 aiG Write                   :      0.000u      0.000s      0.001w      2 calls
DFMP2 AB^x                          :      0.000u      0.000s      0.054w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
DFMP2 Amn^x                         :      0.117u      0.017s      0.484w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      2 calls
DFMP2 L                             :      0.033u      0.000s      0.023w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
DFMP2 P                             :      0.000u      0.000s      0.001w      2 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      2 calls
DFMP2 Z                             :      0.083u      0.000s      0.055w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      4 calls
| JK: (A|mn)                        :      0.017u      0.000s      0.002w      2 calls
| JK: (A|Q)^-1/2                    :      0.017u      0.000s      0.012w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JK: (Q|mn)                        :      0.000u      0.000s      0.000w      2 calls
| JK: D                             :      0.000u      0.000s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.000u      0.000s      0.008w     12 calls
| | JK: J                           :      0.000u      0.000s      0.000w     12 calls
| | | JK: J1                        :      0.000u      0.000s      0.000w     14 calls
| | | JK: J2                        :      0.000u      0.000s      0.000w     14 calls
| | JK: K                           :      0.000u      0.000s      0.007w     12 calls
| | | JK: K1                        :      0.000u      0.000s      0.006w     24 calls
| | | JK: K2                        :      0.000u      0.000s      0.001w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
